2020-08-25-1335,9.1,11.5,241.0
2020-08-25-1340,9.3,10.7,245.0
2020-08-25-1345,9.7,11.3,242.0
2020-08-25-1350,9.7,11.3,239.0
2020-08-25-1355,9.1,12.4,244.0
2020-08-25-1400,10.1,12.6,244.0
2020-08-25-1405,8.2,9.5,257.0
2020-08-25-1410,9.7,12.6,256.0
2020-08-25-1415,10.9,12.2,243.0
2020-08-25-1420,9.7,11.7,237.0
2020-08-25-1425,10.5,12.4,238.0
2020-08-25-1430,11.1,12.6,236.0
2020-08-25-1435,9.5,13.0,245.0
2020-08-25-1440,9.9,12.8,242.0
2020-08-25-1445,9.5,11.1,236.0
2020-08-25-1450,9.5,11.7,257.0
2020-08-25-1455,10.3,12.1,250.0
2020-08-25-1500,10.7,11.9,250.0
2020-08-25-1505,9.9,12.1,268.0
2020-08-25-1510,9.3,11.1,253.0
2020-08-25-1515,9.1,11.1,239.0
2020-08-25-1520,10.5,12.2,245.0
2020-08-25-1525,9.9,13.0,252.0
2020-08-25-1530,8.6,9.7,266.0
2020-08-25-1535,11.3,12.6,250.0
2020-08-25-1540,9.1,10.3,255.0
2020-08-25-1550,9.5,12.6,268.0
2020-08-25-1555,8.9,11.3,264.0
2020-08-25-1600,8.7,12.1,255.0
2020-08-25-1605,8.7,9.9,249.0
2020-08-25-1610,9.1,11.3,260.0
2020-08-25-1615,10.5,12.2,246.0
2020-08-25-1620,9.1,10.5,242.0
2020-08-25-1625,8.4,9.7,244.0
2020-08-25-1630,10.3,13.0,253.0
2020-08-25-1635,8.7,11.5,248.0
2020-08-25-1640,10.1,12.1,263.0
2020-08-25-1645,10.1,11.5,249.0
2020-08-25-1650,8.4,9.7,262.0
2020-08-25-1655,9.5,11.9,249.0
2020-08-25-1655,9.5,11.9,249.0
2020-08-25-1700,9.3,11.5,260.0
2020-08-25-1705,10.1,11.3,260.0
2020-08-25-1710,10.7,13.2,255.0
2020-08-25-1715,8.2,9.1,251.0
2020-08-25-1720,8.9,10.3,254.0
2020-08-25-1725,8.0,9.5,262.0
2020-08-25-1730,8.7,10.3,253.0
